LOAN_ID,snapshot_date,nps_score,nps_category,BALANCE,TOTAL_PAID,ARREARS,DAYS_PAST_DUE,BALANCE_DUE_STATUS,ACCOUNT_STATUS_L2,happy_with_device_quality,happy_with_service,experienced_payment_delay,difficulty_getting_support,phone_locked_despite_payment,PRODUCT_NAME,LOAN_TERM,dpd_bucket,payment_performance
recWhCY0kbBuFaZmD,2025-12-30,5.0,Detractor,0.0,41889,1090.0,0,Arrears,Paid Off,Yes,Yes,Yes,No,No,Samsung-Galaxy-S20-Plus-5G-128GB,12M,Current,Fair
recWiAsKVx5IQcLVf,2025-12-30,6.0,Detractor,78600.0,61749,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-S24-Ultra-256GB,3M,Current,Good
recWiZ0YwP11HpUSd,2025-12-30,9.0,Promoter,0.0,162459,0.0,0,up to date,Paid Off,Yes,Yes,,,,Samsung-Galaxy-S23-Ultra-256GB,12M,Current,Good
recWihZpnTJ9pAocQ,2025-12-30,10.0,Promoter,0.0,16499,0.0,0,up to date,Paid Off,,,,,,Samsung-Galaxy-A05-64GB,12M,Current,Good
recWk4pL4GsYeFyb5,2025-12-30,10.0,Promoter,0.0,62964,32895.0,0,Arrears,Paid Off,Yes,Yes,Yes,No,,Samsung-Note-20-Ultra-128GB,12M,Current,Fair
recWksRy59QPw3YqL,2025-12-30,10.0,Promoter,72420.0,62409,8520.0,21,Arrears,PAR 7,Yes,Yes,No,No,No,Samsung-Galaxy-S22-Ultra-256GB,12M,1-30 DPD,Fair
recWktoSOHNHWO90M,2025-12-30,8.0,Passive,45360.0,15059,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-S20-Ultra-128GB,12M,Current,Good
recWl6gdIUHnjBEwT,2025-12-30,10.0,Promoter,50760.0,31049,18330.0,85,Arrears,Return,Yes,Yes,No,No,No,Samsung-Note-10-Plus-256GB,12M,61-90 DPD,Poor
recWmMeaFUttrKvku,2025-12-30,6.0,Detractor,36580.0,31999,8260.0,48,Arrears,PAR 30,,,,,,Samsung-Galaxy-S20-Ultra-128GB,12M,31-60 DPD,Poor
recWnFPVPPUWvUKlP,2025-12-30,10.0,Promoter,69670.0,10369,69670.0,412,Arrears,Return,,,,,,Apple-iPhone-XS-64GB,12M,90+ DPD,Poor
recWoHn2KefFqO8hH,2025-12-30,5.0,Detractor,96569.0,57180,0.0,0,advance,Active,,,,,,Samsung-Galaxy-S24-Ultra-256GB,12M,Current,Unknown
recWpWUit7YiqlUlA,2025-12-30,8.0,Passive,19780.0,57339,10540.0,49,Arrears,PAR 30,,,,,,Samsung-Galaxy-S21-Plus-5G-128GB,12M,31-60 DPD,Poor
recWs60H3DTif9djP,2025-12-30,10.0,Promoter,64620.0,40339,3200.0,7,Arrears,Inactive,,,,,,Apple-iPhone-12-Pro-256GB,12M,1-30 DPD,Fair
recWsj7q9waKFvcNF,2025-12-30,2.0,Detractor,23800.0,25549,850.0,6,Arrears,Inactive,,,,,,Samsung-Galaxy-S10-128GB,12M,1-30 DPD,Fair
recWtKqzsf7us0tan,2025-12-30,1.0,Detractor,19780.0,30909,860.0,2,Arrears,Inactive,Yes,Yes,No,No,No,Samsung-Galaxy-S20-Ultra-128GB,3M,1-30 DPD,Fair
recWtWXR7wp0enBiV,2025-12-30,10.0,Promoter,19800.0,37889,990.0,5,Arrears,Inactive,,,,,,Samsung-Galaxy-S10-Plus-128GB,12M,1-30 DPD,Fair
recWwODE1a4g4JE79,2025-12-30,10.0,Promoter,19140.0,19119,0.0,0,up to date,Active,Yes,Yes,No,"No, I have never looked for customer care",No,Samsung-Galaxy-A16-128GB,12M,Current,Good
recWzpMBOOHpg4Xsc,2025-12-30,10.0,Promoter,51150.0,38899,0.0,0,up to date,Active,Yes,Yes,No,No,No,Samsung-Note-20-Ultra-128GB,12M,Current,Good
recX0uIw0nJj1P82T,2025-12-30,5.0,Detractor,47300.0,15399,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-S20-Ultra-128GB,12M,Current,Good
recX1pjmGfKsti8Bh,2025-12-30,10.0,Promoter,19550.0,29799,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-S10-128GB,12M,Current,Good
recX1qCQIVXwhgu4X,2025-12-30,7.0,Passive,0.0,63579,0.0,0,up to date,Paid Off,,,,,,Samsung-Note-20-128GB,12M,Current,Good
recX26UHIZJWs41jb,2025-12-30,4.0,Detractor,9040.0,56989,0.0,0,up to date,Active,Yes,Yes,Yes,Yes,,Samsung-Note-10-256GB,12M,Current,Good
recX2dj27KJ9vzl6y,2025-12-30,6.0,Detractor,13420.0,57799,7320.0,39,Arrears,PAR 30,Yes,Yes,Yes,No,Yes,Samsung-Note-10-Plus-256GB,12M,31-60 DPD,Poor
recX2gSusjLbuD72D,2025-12-30,10.0,Promoter,40300.0,35199,11700.0,57,Arrears,PAR 30,,,,,,Samsung-Note-10-Plus-256GB,12M,31-60 DPD,Poor
recX2wYl1opByZ13V,2025-12-30,10.0,Promoter,33660.0,23829,0.0,0,up to date,Active,,,,,,Samsung-Note-20-128GB,12M,Current,Good
recX4W1Ryzmzp3o2o,2025-12-30,2.0,Detractor,0.0,63579,0.0,0,up to date,Paid Off,No,No,Yes,"No, I have never looked for customer care",Yes,Samsung-Galaxy-S21-5G-128GB,12M,Current,Good
recX57MoWEKGcK0qJ,2025-12-30,10.0,Promoter,17250.0,8999,0.0,0,advance,Active,,,,,,Samsung-Galaxy-A06-128GB,12M,Current,Unknown
recX58Jm6Tvy5AuQr,2025-12-30,0.0,Detractor,65280.0,10739,0.0,0,up to date,Active,No,No,No,Yes,No,Samsung-Galaxy-S21-Ultra-128GB,12M,Current,Good
recX5rxOBbmOk3jqP,2025-12-30,7.0,Passive,0.0,37684,0.0,0,up to date,Paid Off,Yes,No,Yes,No,Yes,Samsung-Galaxy-S9-64GB,12M,Current,Good
recX74UI2yuGLj6Zr,2025-12-30,5.0,Detractor,33150.0,13059,0.0,0,advance,Active,,,,,,Samsung-Galaxy-A42-5G-128GB,12M,Current,Unknown
recX8W63YCJzsScoL,2025-12-30,10.0,Promoter,28080.0,34699,0.0,0,advance,Active,Yes,Yes,No,No,No,Samsung-Note-20-128GB,12M,Current,Unknown
recXBo5ME8YsrRjt3,2025-12-30,10.0,Promoter,0.0,82419,0.0,0,up to date,Paid Off,,,,,,Samsung-Galaxy-S22-5G-128GB,12M,Current,Good
recXEuwaqNAuaTt9B,2025-12-30,5.0,Detractor,36400.0,29239,0.0,0,up to date,Active,Yes,Yes,No,"No, I have never looked for customer care",No,Apple-iPhone-11-128GB,STDHIGH,Current,Good
recXGrNZ6a89D59WM,2025-12-30,6.0,Detractor,44260.0,51599,44260.0,201,Arrears,PAR 30,Yes,Yes,No,No,No,Samsung-Note-20-Ultra-128GB,12M,90+ DPD,Poor
recXIdwuFMlthrSqg,2025-12-30,10.0,Promoter,0.0,171299,100.0,0,Arrears,Paid Off,,,,,,Samsung-Galaxy-S23-Ultra-256GB,12M,Current,Fair
recXJDDrw83Ow7gFn,2025-12-30,10.0,Promoter,13090.0,31779,2310.0,17,Arrears,PAR 7,,,,,,Samsung-Galaxy-A16-128GB,12M,1-30 DPD,Fair
recXLASKOTMfZtZ6l,2025-12-30,8.0,Passive,39480.0,42329,1410.0,0,Arrears,Active,Yes,Yes,No,No,No,Samsung-Note-10-Plus-256GB,12M,Current,Fair
recXOWu2zA1O7Y3Wt,2025-12-30,7.0,Passive,65280.0,9779,75059.0,610,Arrears,Return,,,,,,Samsung-Note-10-Plus-256GB,12M,90+ DPD,Poor
recXOoSxvFeYesRLO,2025-12-30,8.0,Passive,28520.0,25119,28520.0,232,Arrears,PAR 30,,,,,,Samsung-Galaxy-S10-128GB,12M,90+ DPD,Poor
